,source, target,node,bipartite
660,u17,u3075,u17,users
661,u17,u7525,u17,users
662,u17,u8494,u17,users
663,u17,u5184,u17,users
664,u17,u2480,u17,users
665,u17,u587,u17,users
666,u17,u10862,u17,users
667,u17,u1588,u17,users
668,u17,u255,u17,users
669,u17,u4029,u17,users
670,u17,u3468,u17,users
671,u17,u172,u17,users
672,u17,u4604,u17,users
673,u17,u9551,u17,users
674,u17,u9489,u17,users
675,u17,u7459,u17,users
676,u17,u5882,u17,users
677,u17,u4209,u17,users
678,u17,u10715,u17,users
679,u17,u6837,u17,users
680,u17,u9369,u17,users
681,u17,u9123,u17,users
682,u17,u855,u17,users
683,u17,u2218,u17,users
684,u17,u1330,u17,users
685,u17,u7025,u17,users
686,u17,u1327,u17,users
687,u17,u3283,u17,users
688,u17,u7607,u17,users
689,u17,u1270,u17,users
690,u17,u8900,u17,users
691,u17,u8692,u17,users
692,u17,u741,u17,users
693,u17,u5470,u17,users
694,u17,u7624,u17,users
695,u17,u527,u17,users
696,u17,u698,u17,users
697,u17,u8125,u17,users
698,u17,u607,u17,users
699,u17,u7377,u17,users
700,u17,u10274,u17,users
701,u17,u1481,u17,users
702,u17,u9965,u17,users
703,u17,u817,u17,users
704,u17,u1414,u17,users
705,u17,u6196,u17,users
706,u17,u3242,u17,users
707,u17,u10642,u17,users
708,u17,u3798,u17,users
709,u17,u3636,u17,users
710,u17,u186,u17,users
711,u17,u7471,u17,users
712,u17,u10742,u17,users
713,u17,u1204,u17,users
714,u17,u10623,u17,users
715,u17,u5108,u17,users
716,u17,u6335,u17,users
717,u17,u1687,u17,users
718,u17,u3233,u17,users
719,u17,u8365,u17,users
720,u17,u1370,u17,users
721,u17,u10032,u17,users
722,u17,u3841,u17,users
723,u17,u75,u17,users
724,u17,u4312,u17,users
725,u17,u157,u17,users
726,u17,u7034,u17,users
727,u17,u6664,u17,users
728,u17,u5395,u17,users
729,u17,u6361,u17,users
730,u17,u5457,u17,users
731,u17,u6552,u17,users
732,u17,u1648,u17,users
733,u17,u10813,u17,users
734,u17,u8726,u17,users
735,u17,u1262,u17,users
736,u17,u1571,u17,users
737,u17,u2170,u17,users
738,u17,u10143,u17,users
739,u17,u8101,u17,users
740,u17,u2994,u17,users
741,u17,u2520,u17,users
742,u17,u9610,u17,users
743,u17,u9046,u17,users
744,u17,u3082,u17,users
745,u17,u8924,u17,users
746,u17,u2594,u17,users
747,u17,u4658,u17,users
748,u17,u4824,u17,users
749,u18,u7266,u18,users
750,u18,u270,u18,users
751,u18,u2869,u18,users
752,u18,u565,u18,users
753,u18,u8053,u18,users
754,u20,u325,u20,users
755,u20,u1374,u20,users
756,u20,u470,u20,users
757,u20,u6113,u20,users
758,u20,u401,u20,users
759,u20,u3115,u20,users
760,u20,u1541,u20,users
761,u20,u10119,u20,users
762,u20,u3421,u20,users
763,u20,u9247,u20,users
764,u20,u501,u20,users
765,u20,u6361,u20,users
766,u20,u2204,u20,users
767,u20,u1049,u20,users
768,u20,u1212,u20,users
769,u20,u1247,u20,users
770,u20,u1329,u20,users
771,u20,u3726,u20,users
772,u20,u1859,u20,users
773,u20,u987,u20,users
774,u20,u2516,u20,users
775,u20,u821,u20,users
776,u20,u990,u20,users
777,u20,u1342,u20,users
778,u20,u7455,u20,users
779,u20,u9623,u20,users
780,u20,u3556,u20,users
781,u20,u9671,u20,users
782,u20,u1029,u20,users
783,u20,u4161,u20,users
784,u20,u156,u20,users
785,u21,u325,u21,users
786,u21,u10770,u21,users
787,u21,u5987,u21,users
788,u21,u2331,u21,users
789,u21,u147,u21,users
790,u21,u1248,u21,users
791,u21,u4056,u21,users
792,u21,u2534,u21,users
793,u21,u3522,u21,users
794,u21,u2665,u21,users
795,u21,u7983,u21,users
796,u21,u1792,u21,users
797,u21,u1514,u21,users
798,u21,u1151,u21,users
799,u21,u646,u21,users
800,u21,u10367,u21,users
801,u21,u261,u21,users
802,u21,u1259,u21,users
803,u21,u9122,u21,users
804,u21,u3610,u21,users
805,u21,u460,u21,users
806,u21,u1837,u21,users
807,u21,u8548,u21,users
808,u21,u9029,u21,users
809,u21,u4695,u21,users
810,u21,u41,u21,users
811,u21,u3620,u21,users
812,u21,u8853,u21,users
813,u21,u300,u21,users
814,u21,u1894,u21,users
815,u21,u709,u21,users
816,u21,u7285,u21,users
817,u21,u4760,u21,users
818,u21,u741,u21,users
819,u21,u3224,u21,users
820,u21,u797,u21,users
821,u21,u1443,u21,users
822,u21,u2091,u21,users
823,u21,u955,u21,users
824,u21,u836,u21,users
825,u21,u3866,u21,users
826,u21,u7257,u21,users
827,u21,u8123,u21,users
828,u21,u4477,u21,users
829,u21,u1478,u21,users
830,u21,u1180,u21,users
831,u21,u10459,u21,users
832,u21,u1172,u21,users
833,u21,u6518,u21,users
834,u21,u10824,u21,users
835,u21,u2813,u21,users
836,u21,u1176,u21,users
837,u21,u4710,u21,users
838,u21,u4130,u21,users
839,u21,u6781,u21,users
840,u24,u1311,u24,users
841,u24,u1682,u24,users
842,u24,u919,u24,users
843,u24,u1478,u24,users
844,u24,u5323,u24,users
845,u24,u872,u24,users
846,u24,u2771,u24,users
847,u24,u4551,u24,users
848,u24,u5512,u24,users
849,u24,u3024,u24,users
850,u24,u4239,u24,users
851,u24,u10242,u24,users
852,u24,u446,u24,users
853,u24,u142,u24,users
854,u24,u3439,u24,users
855,u24,u2618,u24,users
856,u24,u2201,u24,users
857,u24,u4273,u24,users
858,u24,u815,u24,users
859,u24,u500,u24,users
860,u25,u5290,u25,users
861,u27,u2775,u27,users
862,u27,u1599,u27,users
863,u27,u4847,u27,users
864,u27,u665,u27,users
865,u27,u1586,u27,users
866,u28,u2660,u28,users
867,u28,u5668,u28,users
868,u28,u172,u28,users
869,u28,u7466,u28,users
870,u28,u9889,u28,users
871,u28,u7056,u28,users
872,u28,u6587,u28,users
873,u28,u1702,u28,users
874,u28,u10229,u28,users
875,u28,u2925,u28,users
876,u28,u1937,u28,users
877,u28,u9789,u28,users
878,u28,u5810,u28,users
879,u28,u3991,u28,users
880,u28,u1553,u28,users
881,u28,u4495,u28,users
882,u28,u3811,u28,users
883,u28,u1419,u28,users
884,u28,u4931,u28,users
885,u28,u5549,u28,users
886,u28,u4353,u28,users
887,u28,u1411,u28,users
888,u28,u2374,u28,users
889,u28,u8679,u28,users
890,u28,u2334,u28,users
891,u28,u5598,u28,users
